# GODIERNO DE ARAGON

## MEDICOS DE URGENCIA HOSPITALARIA

RESPUESTAS VÁLIDAS DEL EJERCICIO DE OPOSICIÓN

|  Pregunta: | Respuesta: | Pregunta | Respuesta: | Pregunta | Respuesta: | Pregunta | Respuesta:  |
| --- | --- | --- | --- | --- | --- | --- | --- |
|  1 | B | 39 | C | 77 | C |  |   |
|  2 | A | 40 | D | 78 | C |  |   |
|  3 | A | 41 | C | 79 | C |  |   |
|  4 | A | 42 | A | 80 | D |  |   |
|  5 | B | 43 | A | 81 | D |  |   |
|  6 | D | 44 | D | 82 | D |  |   |
|  7 | C | 45 | B | 83 | A |  |   |
|  8 | A | 46 | C | 84 | B |  |   |
|  9 | D | 47 | C | 85 | B |  |   |
|  10 | B | 48 | A | 86 | B |  |   |
|  11 | A | 49 | D | 87 | B |  |   |
|  12 | A | 50 | B | 88 | A |  |   |
|  13 | B | 51 | D | 89 | A |  |   |
|  14 | A | 52 | C | 90 | A |  |   |
|  15 | D | 53 | B | 91 | D |  |   |
|  16 | B | 54 | C | 92 | D |  |   |
|  17 | B | 55 | D | 93 | D |  |   |
|  18 | B | 56 | D | 94 | C |  |   |
|  19 | C | 57 | C | 95 | D |  |   |
|  20 | A | 58 | C | 96 | C |  |   |
|  21 | C | 59 | C | 97 | D |  |   |
|  22 | D | 60 | B | 98 | A |  |   |
|  23 | A | 61 | B | 99 | A |  |   |
|  24 | D | 62 | D | 100 | C |  |   |
|  25 | C | 63 | C | 101 | C |  |   |
|  26 | B | 64 | D | 102 | B |  |   |
|  27 | A | 65 | B | 103 | B |  |   |
|  28 | C | 66 | A | 104 | A |  |   |
|  29 | D | 67 | C | 105 | C |  |   |
|  30 | C | 68 | B | 106 | B |  |   |
|  31 | C | 69 | B | 107 | B |  |   |
|  32 | B | 70 | C | 108 | B |  |   |
|  33 | A | 71 | B | 109 | C |  |   |
|  34 | C | 72 | C | 110 | B |  |   |
|  35 | C | 73 | C |  |  |  |   |
|  36 | A | 74 | C |  |  |  |   |
|  37 | B | 75 | B |  |  |  |   |
|  38 | D | 76 | C |  |  |  |   |

INSTITUCIÓN DE LA GESTIÓN EJERCICIO DE OPOSICIÓN

JOSÉ MANUEL REAL CAMPARÁA

SECRETARIO CARMEN PORROCHE SORBE Plazo de impugnación: El plazo de impugnaciones es de 3 días hábiles desde el siguiente de la

[^0] [^0]: Martes, 03 / junio / 2025 publicación Página 1 de 1
