EXÁMEN TEST
Nº PREGUNTA
RESPUESTA VÁLIDA
Nº PREGUNTA
RESPUESTA VÁLIDA
1 C
51 B
2 A
52 A
3 D
53 B
4 D
54 D
5 C
55 A
6 A
56 B
7 A
57 D
8 D
58 A
9 D
59 D
10 B
60 D
11 A
61 D
12 D
62 C
13 C
63 B
14 B
64 D
15 B
65 D
16 ANULADA
66 A
17 B
67 C
18 D
68 B
19 A
69 A
20 C
70 D
21 A
71 C
22 C
72 D
23 D
73 A
24 D
74 C
25 D
75 B
26 A
76 C
27 B
77 C
28 A
78 B
29 D
79 C
30 C
80 C
31 B
81 C
32 C
82 D
33 B
83 B
34 D
84 A
35 A
85 C
36 D
86 D
37 B
87 A
38 B
88 B
39 D
89 C
40 C
90 B
41 B
42 C
43 C
44 C
45 A
46 C
47 A
48 A
49 C
50 A
PREGUNTAS DE RESERVA
Nº PREGUNTA
RESPUESTA VÁLIDA
1 B
2 C
3 D
4 D
5 C
6 B
7 C
8 C
9 B
